timestamp,open,high,low,close,volume
2026-04-13 09:15:00+05:30,23589.6,23699.7,23579.8,23629.05,0
2026-04-13 09:16:00+05:30,23626.6,23632.25,23555.6,23583.95,0
2026-04-13 09:17:00+05:30,23584.3,23600.65,23570.95,23570.95,0
2026-04-13 09:18:00+05:30,23573.05,23576.6,23558.55,23569.8,0
2026-04-13 09:19:00+05:30,23568.8,23584.65,23568.8,23578.55,0
2026-04-13 09:20:00+05:30,23579.6,23583.8,23573.2,23581.05,0
2026-04-13 09:21:00+05:30,23579.95,23590.3,23575.15,23583.4,0
2026-04-13 09:22:00+05:30,23583.9,23587.15,23573.0,23580.35,0
2026-04-13 09:23:00+05:30,23580.15,23595.1,23577.35,23588.15,0
2026-04-13 09:24:00+05:30,23587.6,23592.4,23576.15,23591.5,0
2026-04-13 09:25:00+05:30,23590.85,23604.7,23583.25,23598.9,0
2026-04-13 09:26:00+05:30,23600.25,23602.8,23588.1,23598.75,0
2026-04-13 09:27:00+05:30,23595.25,23608.3,23593.5,23602.4,0
2026-04-13 09:28:00+05:30,23602.8,23602.8,23583.0,23595.9,0
2026-04-13 09:29:00+05:30,23591.95,23609.85,23588.75,23604.7,0
2026-04-13 09:30:00+05:30,23604.3,23604.3,23589.9,23590.35,0
2026-04-13 09:31:00+05:30,23590.7,23599.7,23586.9,23593.9,0
2026-04-13 09:32:00+05:30,23593.6,23613.35,23587.55,23608.9,0
2026-04-13 09:33:00+05:30,23608.9,23618.8,23606.8,23613.35,0
2026-04-13 09:34:00+05:30,23613.2,23616.85,23610.05,23615.55,0
2026-04-13 09:35:00+05:30,23615.65,23615.65,23591.75,23593.9,0
2026-04-13 09:36:00+05:30,23590.75,23593.9,23580.4,23580.4,0
2026-04-13 09:37:00+05:30,23580.8,23591.65,23580.35,23588.6,0
2026-04-13 09:38:00+05:30,23588.2,23592.8,23587.65,23592.1,0
2026-04-13 09:39:00+05:30,23590.95,23597.7,23586.2,23592.85,0
2026-04-13 09:40:00+05:30,23591.25,23596.3,23588.35,23594.15,0
2026-04-13 09:41:00+05:30,23596.2,23625.4,23596.2,23625.4,0
2026-04-13 09:42:00+05:30,23625.35,23644.0,23624.15,23627.85,0
2026-04-13 09:43:00+05:30,23627.75,23639.2,23620.2,23634.9,0
2026-04-13 09:44:00+05:30,23634.85,23635.7,23629.3,23633.5,0
2026-04-13 09:45:00+05:30,23634.3,23634.4,23615.9,23623.95,0
2026-04-13 09:46:00+05:30,23622.95,23630.45,23619.4,23629.95,0
2026-04-13 09:47:00+05:30,23630.5,23635.4,23628.4,23629.8,0
2026-04-13 09:48:00+05:30,23629.0,23629.45,23612.45,23621.85,0
2026-04-13 09:49:00+05:30,23622.1,23633.05,23616.1,23631.35,0
2026-04-13 09:50:00+05:30,23632.15,23640.35,23632.1,23634.7,0
2026-04-13 09:51:00+05:30,23635.05,23643.35,23627.9,23643.35,0
2026-04-13 09:52:00+05:30,23643.7,23649.3,23637.75,23642.6,0
2026-04-13 09:53:00+05:30,23641.5,23648.75,23636.75,23639.1,0
2026-04-13 09:54:00+05:30,23639.7,23657.05,23637.95,23642.75,0
2026-04-13 09:55:00+05:30,23643.8,23668.1,23642.15,23663.4,0
2026-04-13 09:56:00+05:30,23664.5,23668.95,23661.55,23665.15,0
2026-04-13 09:57:00+05:30,23664.5,23667.2,23660.95,23666.5,0
2026-04-13 09:58:00+05:30,23666.85,23680.4,23665.5,23669.7,0
2026-04-13 09:59:00+05:30,23670.3,23673.15,23666.95,23669.05,0
2026-04-13 10:00:00+05:30,23668.8,23669.9,23653.15,23657.45,0
2026-04-13 10:01:00+05:30,23658.95,23675.85,23655.95,23674.55,0
2026-04-13 10:02:00+05:30,23675.45,23679.0,23667.15,23672.5,0
2026-04-13 10:03:00+05:30,23673.5,23678.0,23665.1,23667.85,0
2026-04-13 10:04:00+05:30,23667.55,23672.05,23655.55,23671.35,0
2026-04-13 10:05:00+05:30,23672.45,23679.65,23668.25,23673.2,0
2026-04-13 10:06:00+05:30,23673.3,23674.5,23661.55,23662.9,0
2026-04-13 10:07:00+05:30,23662.9,23677.3,23657.65,23675.15,0
2026-04-13 10:08:00+05:30,23675.25,23677.5,23661.4,23666.55,0
2026-04-13 10:09:00+05:30,23665.75,23677.5,23665.15,23675.45,0
2026-04-13 10:10:00+05:30,23675.75,23678.35,23667.95,23671.8,0
2026-04-13 10:11:00+05:30,23670.25,23677.4,23662.7,23676.45,0
2026-04-13 10:12:00+05:30,23675.9,23682.65,23672.95,23678.05,0
2026-04-13 10:13:00+05:30,23678.4,23681.8,23665.8,23668.15,0
2026-04-13 10:14:00+05:30,23667.4,23667.4,23653.85,23660.05,0
2026-04-13 10:15:00+05:30,23655.5,23657.45,23643.45,23646.15,0
2026-04-13 10:16:00+05:30,23644.95,23654.95,23637.45,23637.45,0
2026-04-13 10:17:00+05:30,23638.0,23645.35,23634.05,23639.6,0
2026-04-13 10:18:00+05:30,23638.65,23661.35,23638.1,23661.35,0
2026-04-13 10:19:00+05:30,23662.05,23673.3,23658.85,23673.3,0
2026-04-13 10:20:00+05:30,23673.1,23690.9,23671.5,23688.75,0
2026-04-13 10:21:00+05:30,23691.25,23715.6,23690.3,23709.55,0
2026-04-13 10:22:00+05:30,23709.3,23718.35,23707.35,23718.35,0
2026-04-13 10:23:00+05:30,23717.6,23721.65,23707.8,23712.05,0
2026-04-13 10:24:00+05:30,23712.55,23719.5,23705.25,23707.85,0
2026-04-13 10:25:00+05:30,23707.9,23712.9,23703.3,23707.35,0
2026-04-13 10:26:00+05:30,23707.15,23715.95,23702.75,23715.8,0
